,location,date,total_cases,new_cases,total_deaths,new_deaths,population,cases_per_million
50492,Brazil,2020-09-19,4282164.0,0.0,130396.0,0.0,215313504,0.019888041950216
50493,Brazil,2020-09-20,4495183.0,213019.0,135793.0,5397.0,215313504,0.020877385377556255
50494,Brazil,2020-09-21,4495183.0,0.0,135793.0,0.0,215313504,0.020877385377556255
50495,Brazil,2020-09-22,4495183.0,0.0,135793.0,0.0,215313504,0.020877385377556255
50496,Brazil,2020-09-23,4495183.0,0.0,135793.0,0.0,215313504,0.020877385377556255
50497,Brazil,2020-09-24,4495183.0,0.0,135793.0,0.0,215313504,0.020877385377556255
50498,Brazil,2020-09-25,4495183.0,0.0,135793.0,0.0,215313504,0.020877385377556255
50499,Brazil,2020-09-26,4495183.0,0.0,135793.0,0.0,215313504,0.020877385377556255
50500,Brazil,2020-09-27,4689613.0,194430.0,140537.0,4744.0,215313504,0.02178039422924444
50501,Brazil,2020-09-28,4689613.0,0.0,140537.0,0.0,215313504,0.02178039422924444
50502,Brazil,2020-09-29,4689613.0,0.0,140537.0,0.0,215313504,0.02178039422924444
50503,Brazil,2020-09-30,4689613.0,0.0,140537.0,0.0,215313504,0.02178039422924444
50504,Brazil,2020-10-01,4689613.0,0.0,140537.0,0.0,215313504,0.02178039422924444
50505,Brazil,2020-10-02,4689613.0,0.0,140537.0,0.0,215313504,0.02178039422924444
50506,Brazil,2020-10-03,4689613.0,0.0,140537.0,0.0,215313504,0.02178039422924444
50507,Brazil,2020-10-04,4880523.0,190910.0,145388.0,4851.0,215313504,0.022667054826250005
50508,Brazil,2020-10-05,4880523.0,0.0,145388.0,0.0,215313504,0.022667054826250005
50509,Brazil,2020-10-06,4880523.0,0.0,145388.0,0.0,215313504,0.022667054826250005
50510,Brazil,2020-10-07,4880523.0,0.0,145388.0,0.0,215313504,0.022667054826250005
50511,Brazil,2020-10-08,4880523.0,0.0,145388.0,0.0,215313504,0.022667054826250005
50512,Brazil,2020-10-09,4880523.0,0.0,145388.0,0.0,215313504,0.022667054826250005
